time_vao,time_dong,chieu,nguon,gia_vao,sl_goc,R_pip,mfe_pip,mae_pip,mfe_R,mae_R,cham10,phut10,phut_ve_entry_10,cham20,phut20,phut_ve_entry_20,cham30,phut30,phut_ve_entry_30,cham50,phut50,phut_ve_entry_50,cham80,phut80,phut_ve_entry_80,cham100,phut100,phut_ve_entry_100,cham150,phut150,phut_ve_entry_150,cham200,phut200,phut_ve_entry_200,cham300,phut300,phut_ve_entry_300,ket_cuc,lai_usd,phut_giu
2025.01.02 00:50,2025.01.02 01:11,SELL,Swing,2627.189,2630.937,37.5,32.2,36.3,0.86,0.97,1,7,14,1,10,14,1,10,14,0,,,0,,,0,,,0,,,0,,,0,,,SL,-37.48,20
2025.01.02 00:50,2025.01.02 01:11,SELL,Swing,2626.886,2630.937,40.5,29.1,39.3,0.72,0.97,1,9,14,1,10,14,0,,,0,,,0,,,0,,,0,,,0,,,0,,,SL,-40.51,21
2025.01.02 08:42,2025.01.02 09:28,SELL,LienKe,2636.501,2640.121,36.2,9.7,35.5,0.27,0.98,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,SL,-36.20,45
2025.01.02 08:42,2025.01.02 09:28,SELL,Swing,2636.501,2640.121,36.2,9.7,35.5,0.27,0.98,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,SL,-36.20,45
2025.01.02 08:10,2025.01.02 09:28,SELL,LienKe,2635.250,2640.121,48.7,40.0,48.0,0.82,0.99,1,1,3,1,13,31,1,17,31,0,,,0,,,0,,,0,,,0,,,0,,,SL,-48.71,78
2025.01.02 08:10,2025.01.02 09:28,SELL,Swing,2635.250,2640.121,48.7,40.0,48.0,0.82,0.99,1,1,3,1,13,31,1,17,31,0,,,0,,,0,,,0,,,0,,,0,,,SL,-48.71,78
2025.01.01 23:50,2025.01.02 15:37,BUY,LienKe,2623.302,2618.668,46.3,295.9,5.5,6.39,0.12,1,8,10,1,19,-,1,32,-,1,75,-,1,87,-,1,100,-,1,551,-,1,629,-,0,,,TP,283.95,947
2025.01.02 20:35,2025.01.03 02:19,SELL,LienKe,2659.806,2663.463,36.6,35.4,35.6,0.97,0.97,1,44,207,1,57,207,1,59,207,0,,,0,,,0,,,0,,,0,,,0,,,SL,-36.57,344
2025.01.06 01:08,2025.01.06 01:16,SELL,LienKe,2642.239,2646.498,42.6,3.1,40.2,0.07,0.94,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,SL,-42.59,8
2025.01.06 01:05,2025.01.06 01:16,SELL,LienKe,2641.032,2646.498,54.7,1.2,52.3,0.02,0.96,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,SL,-54.66,11
2025.01.08 09:32,2025.01.08 13:11,SELL,LienKe,2654.303,2658.001,37.0,83.0,33.9,2.24,0.92,1,16,28,1,90,209,1,101,209,1,116,209,1,172,209,0,,,0,,,0,,,0,,,SL,-36.98,219
2025.01.08 09:15,2025.01.08 13:11,SELL,LienKe,2653.562,2658.001,44.4,75.5,41.3,1.70,0.93,1,106,225,1,110,225,1,131,225,1,135,225,0,,,0,,,0,,,0,,,0,,,SL,-44.39,236
2025.01.08 14:15,2025.01.08 14:37,SELL,Swing,2663.443,2667.508,40.6,28.6,33.1,0.70,0.81,1,1,15,1,1,15,0,,,0,,,0,,,0,,,0,,,0,,,0,,,SL,-40.65,22
2025.01.08 14:15,2025.01.08 14:37,SELL,Swing,2662.338,2667.508,51.7,17.6,44.2,0.34,0.85,1,1,6,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,SL,-51.70,22
2025.01.09 16:30,2025.01.09 17:07,BUY,LienKe,2667.581,2663.905,36.8,26.1,32.8,0.71,0.89,1,3,6,1,13,27,0,,,0,,,0,,,0,,,0,,,0,,,0,,,SL,-36.76,37
2025.01.09 16:10,2025.01.09 17:07,BUY,LienKe,2668.419,2663.905,45.1,25.7,41.2,0.57,0.91,1,3,17,1,5,17,0,,,0,,,0,,,0,,,0,,,0,,,0,,,SL,-45.14,57
2025.01.10 13:03,2025.01.10 13:30,BUY,LienKe,2676.160,2671.747,44.1,47.9,10.4,1.09,0.24,1,3,-,1,3,-,1,7,-,0,,,0,,,0,,,0,,,0,,,0,,,SL,-44.13,27
2025.01.10 12:45,2025.01.10 13:30,BUY,LienKe,2677.742,2671.747,60.0,32.1,26.3,0.54,0.44,1,1,15,1,5,15,1,35,40,0,,,0,,,0,,,0,,,0,,,0,,,SL,-59.95,45
2025.01.15 14:46,2025.01.16 11:34,BUY,LienKe,2680.054,2675.156,49.0,297.4,34.1,6.07,0.70,1,2,14,1,3,14,1,4,14,1,112,-,1,122,-,1,134,-,1,295,-,1,623,-,0,,,TP,283.95,1248
2025.01.16 13:30,2025.01.16 13:30,SELL,LienKe,2710.098,2714.727,46.3,0.0,1.6,0.00,0.03,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,SL,-46.29,0
2025.01.15 14:40,2025.01.16 13:30,BUY,LienKe,2682.211,2675.156,70.5,295.2,55.7,4.18,0.79,1,0,3,1,0,3,1,118,-,1,127,-,1,140,-,1,146,-,1,391,-,1,1058,-,0,,,TP,283.95,1370
2025.01.16 13:30,2025.01.16 13:43,SELL,LienKe,2710.946,2714.727,37.8,12.7,39.5,0.34,1.04,1,9,10,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,SL,-37.81,13
2025.01.17 14:35,2025.01.19 23:16,BUY,LienKe,2706.869,2699.757,71.1,103.9,76.3,1.46,1.07,1,0,1,1,6,257,1,7,257,1,14,257,1,30,257,1,130,257,0,,,0,,,0,,,SL,-76.47,3401
2025.01.22 04:20,2025.01.22 05:35,SELL,LienKe,2751.186,2754.453,32.7,8.2,30.6,0.25,0.94,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,SL,-32.67,75
2025.01.22 04:20,2025.01.22 05:35,SELL,LienKe,2750.906,2754.453,35.5,5.4,33.4,0.15,0.94,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,SL,-35.47,75
2025.01.27 15:01,2025.01.27 15:05,BUY,Swing,2746.880,2741.983,49.0,1.9,42.8,0.04,0.87,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,SL,-48.97,4
2025.01.27 14:35,2025.01.27 15:05,BUY,Swing,2748.891,2741.983,69.1,65.7,62.9,0.95,0.91,1,0,25,1,0,25,1,3,25,1,6,25,0,,,0,,,0,,,0,,,0,,,SL,-69.08,30
2025.01.27 16:20,2025.01.27 16:51,BUY,LienKe,2739.566,2735.500,40.7,36.1,36.9,0.89,0.91,1,7,14,1,7,14,1,16,22,0,,,0,,,0,,,0,,,0,,,0,,,SL,-40.66,31
2025.01.27 16:15,2025.01.27 16:51,BUY,LienKe,2741.041,2735.500,55.4,21.3,51.6,0.38,0.93,1,21,25,1,22,25,0,,,0,,,0,,,0,,,0,,,0,,,0,,,SL,-55.41,36
2025.01.28 03:46,2025.01.28 08:33,BUY,LienKe,2738.498,2735.076,34.2,64.0,33.9,1.87,0.99,1,5,252,1,27,252,1,72,252,1,75,252,0,,,0,,,0,,,0,,,0,,,SL,-34.22,287
2025.01.28 03:40,2025.01.28 08:33,BUY,LienKe,2738.989,2735.076,39.1,59.0,38.8,1.51,0.99,1,12,16,1,43,253,1,79,253,1,81,253,0,,,0,,,0,,,0,,,0,,,SL,-39.13,293
2025.01.28 10:01,2025.01.28 13:31,SELL,LienKe,2744.541,2748.151,36.1,34.6,34.0,0.96,0.94,1,17,27,1,47,86,1,49,86,0,,,0,,,0,,,0,,,0,,,0,,,SL,-36.10,210
2025.01.28 09:35,2025.01.28 13:31,SELL,LienKe,2743.486,2748.151,46.6,24.0,44.5,0.52,0.95,1,7,9,1,75,84,0,,,0,,,0,,,0,,,0,,,0,,,0,,,SL,-46.65,236
2025.01.31 07:24,2025.01.31 12:05,SELL,Swing,2798.716,2802.658,39.4,75.3,39.3,1.91,1.00,1,20,22,1,42,47,1,58,266,1,61,266,0,,,0,,,0,,,0,,,0,,,SL,-39.42,281
2025.01.31 00:10,2025.01.31 12:05,SELL,LienKe,2797.767,2802.658,48.9,65.8,48.8,1.35,1.00,1,24,125,1,43,125,1,47,125,1,407,430,0,,,0,,,0,,,0,,,0,,,SL,-48.91,715
2025.01.31 00:10,2025.01.31 12:05,SELL,Swing,2797.767,2802.658,48.9,65.8,48.8,1.35,1.00,1,24,125,1,43,125,1,47,125,1,407,430,0,,,0,,,0,,,0,,,0,,,SL,-48.91,715
2025.01.31 05:44,2025.02.02 23:24,BUY,LienKe,2794.954,2790.870,40.8,222.9,39.3,5.46,0.96,1,23,26,1,93,158,1,99,158,1,106,158,1,392,857,1,395,857,1,552,857,1,563,857,0,,,SL,-46.19,3940
2025.01.31 05:40,2025.02.02 23:24,BUY,LienKe,2796.003,2790.870,51.3,212.4,49.8,4.14,0.97,1,98,147,1,103,147,1,104,147,1,112,147,1,396,773,1,416,773,1,558,773,1,572,773,0,,,SL,-56.68,3944
2025.01.31 10:13,2025.02.02 23:32,BUY,LienKe,2792.454,2788.651,38.0,247.9,31.6,6.52,0.83,1,4,19,1,9,19,1,61,3671,1,83,3671,1,103,3671,1,111,3671,1,149,3671,1,286,3671,0,,,SL,-43.38,3679
2025.01.31 09:00,2025.02.02 23:32,BUY,LienKe,2793.477,2788.651,48.3,237.7,41.8,4.92,0.87,1,0,2,1,33,60,1,147,3742,1,169,3742,1,181,3742,1,196,3742,1,280,3742,1,360,3742,0,,,SL,-53.61,3752
2025.02.02 23:30,2025.02.02 23:38,BUY,Swing,2791.753,2786.299,54.5,0.0,49.0,0.00,0.90,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,SL,-54.54,8
2025.02.02 23:30,2025.02.02 23:38,BUY,Swing,2792.519,2786.299,62.2,0.7,56.6,0.01,0.91,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,SL,-62.20,8
2025.02.03 01:16,2025.02.03 01:56,BUY,LienKe,2783.760,2779.599,41.6,9.0,30.1,0.22,0.72,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,SL,-41.61,40
2025.02.03 01:15,2025.02.03 01:56,BUY,LienKe,2785.899,2779.599,63.0,0.0,51.5,0.00,0.82,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,SL,-63.00,41
2025.02.04 06:30,2025.02.04 07:27,BUY,Swing,2812.129,2807.868,42.6,23.0,37.0,0.54,0.87,1,16,30,1,38,52,0,,,0,,,0,,,0,,,0,,,0,,,0,,,SL,-42.61,57
2025.02.04 06:30,2025.02.04 07:27,BUY,Swing,2812.296,2807.868,44.3,21.4,38.7,0.48,0.87,1,21,30,1,43,51,0,,,0,,,0,,,0,,,0,,,0,,,0,,,SL,-44.28,57
2025.02.06 08:12,2025.02.06 08:22,BUY,LienKe,2854.501,2850.590,39.1,21.0,25.8,0.54,0.66,1,2,7,1,5,7,0,,,0,,,0,,,0,,,0,,,0,,,0,,,SL,-39.11,10
2025.02.06 08:10,2025.02.06 08:22,BUY,LienKe,2855.664,2850.590,50.7,9.4,37.5,0.18,0.74,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,SL,-50.74,12
2025.02.07 13:10,2025.02.07 13:31,BUY,LienKe,2863.297,2859.851,34.5,76.8,30.2,2.23,0.88,1,19,20,1,19,20,1,19,20,1,19,20,0,,,0,,,0,,,0,,,0,,,SL,-34.46,21
2025.02.07 13:10,2025.02.07 13:31,BUY,LienKe,2864.055,2859.851,42.0,69.2,37.8,1.65,0.90,1,20,20,1,20,20,1,20,20,1,20,20,0,,,0,,,0,,,0,,,0,,,SL,-42.04,21
2025.02.13 04:14,2025.02.13 05:23,SELL,LienKe,2917.924,2921.461,35.4,15.9,33.9,0.45,0.96,1,7,11,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,SL,-35.37,69
2025.02.13 04:10,2025.02.13 05:23,SELL,LienKe,2917.469,2921.461,39.9,11.4,38.4,0.29,0.96,1,12,14,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,SL,-39.92,73
2025.02.17 09:21,2025.02.18 03:22,SELL,LienKe,2905.189,2909.321,41.3,130.3,40.4,3.15,0.98,1,5,1040,1,6,1040,1,18,1040,1,65,1040,1,72,1040,1,951,1040,0,,,0,,,0,,,SL,-41.32,1081
2025.02.17 09:20,2025.02.18 03:22,SELL,LienKe,2904.136,2909.321,51.8,119.7,50.9,2.31,0.98,1,7,105,1,20,105,1,65,105,1,66,105,1,74,105,1,973,1040,0,,,0,,,0,,,SL,-51.85,1082
2025.02.18 05:05,2025.02.18 12:41,SELL,LienKe,2910.879,2916.500,56.2,36.5,51.4,0.65,0.91,1,161,168,1,162,168,1,340,350,0,,,0,,,0,,,0,,,0,,,0,,,SL,-56.21,456
2025.02.18 05:05,2025.02.18 12:41,SELL,LienKe,2910.761,2916.500,57.4,35.3,52.5,0.62,0.92,1,161,168,1,162,168,1,340,349,0,,,0,,,0,,,0,,,0,,,0,,,SL,-57.39,456
2025.02.19 00:37,2025.02.19 00:58,BUY,LienKe,2932.808,2929.022,37.9,1.0,36.5,0.03,0.96,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,SL,-37.86,21
2025.02.19 00:30,2025.02.19 00:58,BUY,LienKe,2933.657,2929.022,46.4,2.7,45.0,0.06,0.97,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,SL,-46.35,28
2025.02.19 09:00,2025.02.19 09:15,SELL,Swing,2939.078,2943.041,39.6,8.0,7.9,0.20,0.20,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,SL,-39.63,15
2025.02.19 08:45,2025.02.19 09:15,SELL,Swing,2938.165,2943.041,48.8,15.9,17.0,0.33,0.35,1,3,8,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,SL,-48.76,30
2025.02.19 12:06,2025.02.19 15:59,BUY,LienKe,2933.040,2928.202,48.4,85.7,44.1,1.77,0.91,1,3,13,1,9,13,1,9,13,1,57,107,1,62,107,0,,,0,,,0,,,0,,,SL,-48.38,233
2025.02.19 12:05,2025.02.19 15:59,BUY,LienKe,2935.061,2928.202,68.6,65.5,64.3,0.95,0.94,1,10,11,1,57,106,1,58,106,1,60,106,0,,,0,,,0,,,0,,,0,,,SL,-68.59,234
2025.02.24 03:10,2025.02.24 08:52,SELL,Swing,2942.558,2946.379,38.2,71.6,26.1,1.87,0.68,1,10,12,1,30,70,1,52,70,1,166,266,0,,,0,,,0,,,0,,,0,,,SL,-38.21,342
2025.02.24 03:05,2025.02.24 08:52,SELL,Swing,2941.764,2946.379,46.1,63.7,34.0,1.38,0.74,1,0,4,1,57,72,1,57,72,1,171,201,0,,,0,,,0,,,0,,,0,,,SL,-46.15,347
2025.02.25 07:58,2025.02.25 12:33,BUY,Swing,2931.428,2927.518,39.1,110.0,19.1,2.81,0.49,1,5,6,1,14,273,1,29,273,1,38,273,1,42,273,1,56,273,0,,,0,,,0,,,SL,-39.10,275
2025.02.25 07:55,2025.02.25 12:33,BUY,Swing,2932.496,2927.518,49.8,99.3,29.8,2.00,0.60,1,1,2,1,32,275,1,36,275,1,42,275,1,47,275,0,,,0,,,0,,,0,,,SL,-49.78,278
2025.02.25 14:20,2025.02.25 15:24,SELL,LienKe,2941.649,2945.635,39.9,253.8,34.6,6.37,0.87,1,0,1,1,24,-,1,24,-,1,27,-,1,38,-,1,41,-,1,55,-,1,57,-,0,,,TP,300.00,64
2025.02.25 14:20,2025.02.25 15:24,SELL,LienKe,2940.636,2945.635,50.0,243.7,44.7,4.87,0.89,1,24,-,1,24,-,1,26,-,1,32,-,1,39,-,1,48,-,1,56,-,1,59,-,0,,,TP,300.00,64
2025.02.26 16:38,2025.02.26 23:42,SELL,LienKe,2914.305,2919.682,53.8,37.8,51.4,0.70,0.95,1,8,16,1,11,16,1,12,16,0,,,0,,,0,,,0,,,0,,,0,,,SL,-53.77,424
2025.02.26 16:10,2025.02.26 23:42,SELL,LienKe,2911.946,2919.682,77.4,18.6,74.9,0.24,0.97,1,0,1,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,SL,-77.36,452
2025.02.27 02:05,2025.02.27 02:50,BUY,LienKe,2911.801,2908.021,37.8,30.1,29.6,0.80,0.78,1,2,42,1,4,42,1,5,42,0,,,0,,,0,,,0,,,0,,,0,,,SL,-37.80,45
2025.02.27 02:00,2025.02.27 02:50,BUY,LienKe,2912.734,2908.021,47.1,20.8,38.9,0.44,0.83,1,8,30,1,10,30,0,,,0,,,0,,,0,,,0,,,0,,,0,,,SL,-47.13,50
2025.02.27 04:17,2025.02.27 04:33,BUY,LienKe,2904.463,2901.148,33.2,20.9,21.1,0.63,0.64,1,0,11,1,7,11,0,,,0,,,0,,,0,,,0,,,0,,,0,,,SL,-33.15,16
2025.02.27 04:15,2025.02.27 04:33,BUY,LienKe,2905.247,2901.148,41.0,13.1,28.9,0.32,0.71,1,4,6,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,SL,-40.99,18
2025.03.03 08:31,2025.03.03 15:29,BUY,LienKe,2859.510,2855.830,36.8,289.8,3.5,7.87,0.10,1,2,-,1,3,-,1,4,-,1,8,-,1,21,-,1,33,-,1,160,-,1,364,-,0,,,TP,300.00,418
2025.03.03 08:31,2025.03.03 15:29,BUY,Swing,2859.510,2855.830,36.8,289.8,3.5,7.87,0.10,1,2,-,1,3,-,1,4,-,1,8,-,1,21,-,1,33,-,1,160,-,1,364,-,0,,,TP,300.00,418
2025.03.03 08:30,2025.03.03 15:30,BUY,LienKe,2860.350,2855.830,45.2,293.1,11.9,6.48,0.26,1,4,-,1,5,-,1,6,-,1,9,-,1,22,-,1,47,-,1,162,-,1,365,-,0,,,TP,300.00,420
2025.03.03 08:30,2025.03.03 15:30,BUY,Swing,2860.350,2855.830,45.2,293.1,11.9,6.48,0.26,1,4,-,1,5,-,1,6,-,1,9,-,1,22,-,1,47,-,1,162,-,1,365,-,0,,,TP,300.00,420
2025.03.04 20:08,2025.03.04 20:20,SELL,LienKe,2916.556,2920.063,35.1,0.0,34.3,0.00,0.98,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,SL,-35.07,11
2025.03.04 20:05,2025.03.04 20:20,SELL,LienKe,2915.810,2920.063,42.5,1.8,41.8,0.04,0.98,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,SL,-42.53,15
2025.03.06 05:06,2025.03.06 07:37,BUY,LienKe,2916.386,2912.514,38.7,66.8,32.7,1.73,0.84,1,24,41,1,26,41,1,28,41,1,54,137,0,,,0,,,0,,,0,,,0,,,SL,-38.72,151
2025.03.06 05:05,2025.03.06 07:37,BUY,LienKe,2917.407,2912.514,48.9,56.6,42.9,1.16,0.88,1,27,41,1,29,41,1,51,138,1,56,138,0,,,0,,,0,,,0,,,0,,,SL,-48.93,152
2025.03.07 13:40,2025.03.07 15:00,SELL,LienKe,2922.929,2929.478,65.5,192.0,60.6,2.93,0.92,1,1,1,1,6,66,1,6,66,1,13,66,1,15,66,1,20,66,1,21,66,0,,,0,,,SL,-65.49,80
2025.03.10 03:35,2025.03.10 07:54,BUY,LienKe,2910.050,2906.464,35.9,53.7,31.0,1.50,0.86,1,16,88,1,17,88,1,155,164,1,208,254,0,,,0,,,0,,,0,,,0,,,SL,-35.86,259
2025.03.10 02:30,2025.03.10 07:54,BUY,LienKe,2910.830,2906.464,43.7,45.9,38.8,1.05,0.89,1,4,65,1,6,65,1,8,65,0,,,0,,,0,,,0,,,0,,,0,,,SL,-43.66,324
2025.03.10 16:57,2025.03.10 17:10,BUY,LienKe,2897.549,2892.874,46.8,3.7,41.7,0.08,0.89,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,SL,-46.75,13
2025.03.10 16:50,2025.03.10 17:10,BUY,LienKe,2899.302,2892.874,64.3,4.9,59.2,0.08,0.92,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,SL,-64.28,20
2025.03.11 11:43,2025.03.11 13:38,SELL,Swing,2914.575,2918.456,38.8,76.3,32.9,1.97,0.85,1,9,52,1,32,52,1,34,52,1,82,111,0,,,0,,,0,,,0,,,0,,,SL,-38.81,115
2025.03.11 11:35,2025.03.11 13:38,SELL,Swing,2913.596,2918.456,48.6,66.5,42.6,1.37,0.88,1,1,3,1,42,53,1,89,118,1,91,118,0,,,0,,,0,,,0,,,0,,,SL,-48.60,123
2025.03.12 09:05,2025.03.12 15:51,SELL,Swing,2921.218,2928.372,71.5,150.9,69.6,2.11,0.97,1,0,1,1,6,207,1,33,207,1,38,207,1,73,207,1,253,350,1,260,350,0,,,0,,,SL,-71.54,406
2025.03.12 16:07,2025.03.12 16:09,SELL,LienKe,2929.093,2932.729,36.4,0.0,31.4,0.00,0.86,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,SL,-36.36,2
2025.03.12 16:05,2025.03.12 16:09,SELL,LienKe,2928.286,2932.729,44.4,2.4,39.4,0.05,0.89,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,SL,-44.43,4
2025.03.13 00:26,2025.03.13 02:42,SELL,LienKe,2938.926,2942.364,34.4,23.3,29.0,0.68,0.84,1,18,33,1,72,86,0,,,0,,,0,,,0,,,0,,,0,,,0,,,SL,-34.38,136
2025.03.13 00:25,2025.03.13 02:42,SELL,LienKe,2938.432,2942.364,39.3,18.3,33.9,0.47,0.86,1,71,87,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,SL,-39.32,137
2025.03.13 16:05,2025.03.13 16:32,SELL,LienKe,2978.403,2982.008,36.1,13.1,31.2,0.36,0.86,1,10,11,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,SL,-36.05,27
2025.03.13 16:05,2025.03.13 16:32,SELL,LienKe,2977.504,2982.008,45.0,7.6,40.1,0.17,0.89,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,SL,-45.04,27
2025.03.14 04:21,2025.03.14 09:20,SELL,LienKe,2993.397,2996.928,35.3,124.0,32.3,3.51,0.91,1,5,279,1,9,279,1,10,279,1,18,279,1,36,279,1,64,279,0,,,0,,,0,,,SL,-35.31,299
2025.03.14 04:05,2025.03.14 09:20,SELL,LienKe,2992.816,2996.928,41.1,118.2,38.1,2.87,0.93,1,22,263,1,26,263,1,28,263,1,45,263,1,52,263,1,81,263,0,,,0,,,0,,,SL,-41.12,315
2025.03.14 13:57,2025.03.14 15:04,BUY,LienKe,2986.205,2980.157,60.5,71.8,53.8,1.19,0.89,1,4,5,1,9,32,1,9,32,1,12,32,0,,,0,,,0,,,0,,,0,,,SL,-60.48,66
2025.03.14 13:40,2025.03.14 15:04,BUY,LienKe,2989.849,2980.157,96.9,35.3,90.2,0.36,0.93,1,0,0,1,10,13,1,32,36,0,,,0,,,0,,,0,,,0,,,0,,,SL,-96.92,84
2025.03.17 03:30,2025.03.17 04:48,BUY,LienKe,2986.220,2983.016,32.0,24.7,30.3,0.77,0.95,1,5,11,1,6,11,0,,,0,,,0,,,0,,,0,,,0,,,0,,,SL,-32.04,78
2025.03.17 03:30,2025.03.17 04:48,BUY,LienKe,2986.621,2983.016,36.1,20.7,34.4,0.57,0.95,1,5,10,1,6,10,0,,,0,,,0,,,0,,,0,,,0,,,0,,,SL,-36.05,78
2025.03.18 08:11,2025.03.18 08:23,SELL,LienKe,3019.296,3022.714,34.2,6.7,30.2,0.20,0.88,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,SL,-34.18,12
2025.03.18 08:10,2025.03.18 08:23,SELL,LienKe,3018.875,3022.714,38.4,2.5,34.4,0.07,0.90,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,SL,-38.39,13
2025.03.18 00:20,2025.03.18 12:08,BUY,LienKe,3000.576,2996.554,40.2,297.4,10.9,7.40,0.27,1,1,28,1,4,28,1,62,-,1,96,-,1,147,-,1,150,-,1,271,-,1,477,-,0,,,TP,300.00,708
2025.03.19 05:34,2025.03.19 05:37,SELL,LienKe,3038.875,3042.293,34.2,0.0,30.1,0.00,0.88,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,SL,-34.18,3
2025.03.19 05:20,2025.03.19 05:37,SELL,LienKe,3038.291,3042.293,40.0,9.8,35.9,0.24,0.90,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,SL,-40.02,17
2025.03.21 04:51,2025.03.21 05:32,BUY,LienKe,3029.793,3026.180,36.1,7.7,33.4,0.21,0.92,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,SL,-36.13,41
2025.03.21 04:05,2025.03.21 05:32,BUY,LienKe,3030.565,3026.180,43.9,14.4,41.1,0.33,0.94,1,3,10,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,SL,-43.85,87
2025.03.24 13:45,2025.03.24 14:24,BUY,LienKe,3022.026,3017.914,41.1,39.7,28.8,0.97,0.70,1,6,12,1,6,12,1,9,12,0,,,0,,,0,,,0,,,0,,,0,,,SL,-41.12,38
2025.03.24 13:40,2025.03.24 14:24,BUY,LienKe,3023.341,3017.914,54.3,26.6,41.9,0.49,0.77,1,13,17,1,15,17,0,,,0,,,0,,,0,,,0,,,0,,,0,,,SL,-54.27,44
2025.03.26 08:06,2025.03.27 04:07,SELL,LienKe,3031.330,3035.042,37.1,188.4,31.9,5.08,0.86,1,7,1116,1,8,1116,1,11,1116,1,33,1116,1,54,1116,1,69,1116,1,350,1116,0,,,0,,,SL,-37.12,1201
2025.03.26 08:05,2025.03.27 04:07,SELL,LienKe,3030.584,3035.042,44.6,181.0,39.4,4.06,0.88,1,9,1117,1,11,1117,1,16,1117,1,45,1117,1,64,1117,1,74,1117,1,358,1117,0,,,0,,,SL,-44.58,1202
2025.03.27 12:05,2025.03.27 14:49,SELL,LienKe,3054.736,3058.976,42.4,211.7,38.3,4.99,0.90,1,6,154,1,8,154,1,13,154,1,20,154,1,66,154,1,71,154,1,77,154,1,95,154,0,,,SL,-42.40,164
2025.03.27 13:47,2025.03.28 01:13,BUY,LienKe,3035.214,3030.406,48.1,298.6,11.3,6.21,0.23,1,0,1,1,6,-,1,7,-,1,12,-,1,16,-,1,18,-,1,33,-,1,52,-,0,,,TP,294.65,686
2025.03.27 13:45,2025.03.28 01:32,BUY,LienKe,3037.210,3030.406,68.0,298.6,31.2,4.39,0.46,1,0,1,1,13,-,1,14,-,1,16,-,1,20,-,1,29,-,1,53,-,1,54,-,0,,,TP,294.65,707
2025.04.01 05:33,2025.04.01 15:53,SELL,LienKe,3147.237,3150.947,37.1,292.6,19.8,7.89,0.53,1,7,-,1,10,-,1,14,-,1,17,-,1,19,-,1,20,-,1,22,-,1,30,-,0,,,TP,300.00,620
2025.04.01 04:15,2025.04.01 15:57,SELL,LienKe,3146.524,3150.947,44.2,299.6,27.0,6.77,0.61,1,2,75,1,7,75,1,11,75,1,95,-,1,97,-,1,98,-,1,100,-,1,208,-,0,,,TP,300.00,702
2025.04.02 20:17,2025.04.02 20:29,BUY,Swing,3111.271,3101.742,95.3,269.1,47.6,2.82,0.50,1,1,-,1,1,-,1,1,-,1,1,-,1,1,-,1,1,-,1,3,-,1,10,-,0,,,TP,300.00,12
2025.04.02 20:15,2025.04.02 22:16,BUY,Swing,3117.924,3101.742,161.8,289.8,114.1,1.79,0.71,1,0,2,1,0,2,1,0,2,1,0,2,1,1,2,1,1,2,1,13,-,1,13,-,0,,,TP,300.00,121
